Kod;NAZWA;Owner;User;ComputerIP;Version
0201011;Bolesławiec;Admin;Admin;localhost;
0201022;Bolesławiec;Admin;Admin;localhost;
0201032;Gromadka;Admin;Admin;localhost;
0201043;Nowogrodziec;Admin;Admin;localhost;
0201052;Osiecznica;Admin;Admin;localhost;
0201062;Warta Bolesławiecka;Admin;Admin;localhost;
0202011;Bielawa;Admin;Admin;localhost;
0202021;Dzierżoniów;Admin;Admin;localhost;
0202033;Pieszyce;Admin;Admin;localhost;
0202041;Piława Górna;Admin;Admin;localhost;
0202052;Dzierżoniów;Admin;Admin;localhost;
0202062;Łagiewniki;Admin;Admin;localhost;
0202073;Niemcza;Admin;Admin;localhost;
0203011;Głogów;Admin;Admin;localhost;
0203022;Głogów;Admin;Admin;localhost;
0203032;Jerzmanowa;Admin;Admin;localhost;
0203042;Kotla;Admin;Admin;localhost;
0203052;Pęcław;Admin;Admin;localhost;
0203062;Żukowice;Admin;Admin;localhost;
0204013;Góra;Admin;Admin;localhost;
0204022;Jemielno;Admin;Admin;localhost;
0204032;Niechlów;Admin;Admin;localhost;
0204043;Wąsosz;Admin;Admin;localhost;
0205011;Jawor;Admin;Admin;localhost;
0205023;Bolków;Admin;Admin;localhost;
0205032;Męcinka;Admin;Admin;localhost;
0205042;Mściwojów;Admin;Admin;localhost;
0205052;Paszowice;Admin;Admin;localhost;
0205062;Wądroże Wielkie;Admin;Admin;localhost;
0206011;Karpacz;Admin;Admin;localhost;
0206021;Kowary;Admin;Admin;localhost;
0206031;Piechowice;Admin;Admin;localhost;
0206041;Szklarska Poręba;Admin;Admin;localhost;
0206052;Janowice Wielkie;Admin;Admin;localhost;
0206062;Jeżów Sudecki;Admin;Admin;localhost;
0206072;Mysłakowice;Admin;Admin;localhost;
0206082;Podgórzyn;Admin;Admin;localhost;
0206092;Stara Kamienica;Admin;Admin;localhost;
0207011;Kamienna Góra;Admin;Admin;localhost;
0207022;Kamienna Góra;Admin;Admin;localhost;
0207033;Lubawka;Admin;Admin;localhost;
0207042;Marciszów;Admin;Admin;localhost;
0208011;Duszniki-Zdrój;Admin;Admin;localhost;
0208021;Kłodzko;Admin;Admin;localhost;
0208031;Kudowa-Zdrój;Admin;Admin;localhost;
0208041;Nowa Ruda;Admin;Admin;localhost;
0208051;Polanica-Zdrój;Admin;Admin;localhost;
0208063;Bystrzyca Kłodzka;Admin;Admin;localhost;
0208072;Kłodzko;Admin;Admin;localhost;
0208083;Lądek-Zdrój;Admin;Admin;localhost;
