Kod;NAZWA;Owner;User;ComputerIP;Version
0201;bolesławiecki;Admin;Admin;localhost;
0202;dzierżoniowski;Admin;Admin;localhost;
0203;głogowski;Admin;Admin;localhost;
0204;górowski;Admin;Admin;localhost;
0205;jaworski;Admin;Admin;localhost;
0206;jeleniogórski;Admin;Admin;localhost;
0207;kamiennogórski;Admin;Admin;localhost;
0208;kłodzki;Admin;Admin;localhost;
0209;legnicki;Admin;Admin;localhost;
0210;lubański;Admin;Admin;localhost;
0211;lubiński;Admin;Admin;localhost;
0212;lwówecki;Admin;Admin;localhost;
0213;milicki;Admin;Admin;localhost;
0214;oleśnicki;Admin;Admin;localhost;
0215;oławski;Admin;Admin;localhost;
0216;polkowicki;Admin;Admin;localhost;
0217;strzeliński;Admin;Admin;localhost;
0218;średzki;Admin;Admin;localhost;
0219;świdnicki;Admin;Admin;localhost;
0220;trzebnicki;Admin;Admin;localhost;
0221;wałbrzyski;Admin;Admin;localhost;
0222;wołowski;Admin;Admin;localhost;
0223;wrocławski;Admin;Admin;localhost;
0224;ząbkowicki;Admin;Admin;localhost;
0225;zgorzelecki;Admin;Admin;localhost;
0226;złotoryjski;Admin;Admin;localhost;
0261;Jelenia Góra;Admin;Admin;localhost;
0262;Legnica;Admin;Admin;localhost;
0264;Wrocław;Admin;Admin;localhost;
0265;Wałbrzych;Admin;Admin;localhost;
0401;aleksandrowski;Admin;Admin;localhost;
0402;brodnicki;Admin;Admin;localhost;
0403;bydgoski;Admin;Admin;localhost;
0404;chełmiński;Admin;Admin;localhost;
0405;golubsko-dobrzyński;Admin;Admin;localhost;
0406;grudziądzki;Admin;Admin;localhost;
0407;inowrocławski;Admin;Admin;localhost;
0408;lipnowski;Admin;Admin;localhost;
0409;mogileński;Admin;Admin;localhost;
0410;nakielski;Admin;Admin;localhost;
0411;radziejowski;Admin;Admin;localhost;
0412;rypiński;Admin;Admin;localhost;
0413;sępoleński;Admin;Admin;localhost;
0414;świecki;Admin;Admin;localhost;
0415;toruński;Admin;Admin;localhost;
0416;tucholski;Admin;Admin;localhost;
0417;wąbrzeski;Admin;Admin;localhost;
0418;włocławski;Admin;Admin;localhost;
0419;żniński;Admin;Admin;localhost;
0461;Bydgoszcz;Admin;Admin;localhost;
0462;Grudziądz;Admin;Admin;localhost;
0463;Toruń;Admin;Admin;localhost;
0464;Włocławek;Admin;Admin;localhost;
0601;bialski;Admin;Admin;localhost;
0602;biłgorajski;Admin;Admin;localhost;
0603;chełmski;Admin;Admin;localhost;
0604;hrubieszowski;Admin;Admin;localhost;
0605;janowski;Admin;Admin;localhost;
0606;krasnostawski;Admin;Admin;localhost;
0607;kraśnicki;Admin;Admin;localhost;
0608;lubartowski;Admin;Admin;localhost;
0609;lubelski;Admin;Admin;localhost;
0610;łęczyński;Admin;Admin;localhost;
0611;łukowski;Admin;Admin;localhost;
0612;opolski;Admin;Admin;localhost;
0613;parczewski;Admin;Admin;localhost;
0614;puławski;Admin;Admin;localhost;
0615;radzyński;Admin;Admin;localhost;
0616;rycki;Admin;Admin;localhost;
0617;świdnicki;Admin;Admin;localhost;
0618;tomaszowski;Admin;Admin;localhost;
0619;włodawski;Admin;Admin;localhost;
0620;zamojski;Admin;Admin;localhost;
0661;Biała Podlaska;Admin;Admin;localhost;
0662;Chełm;Admin;Admin;localhost;
0663;Lublin;Admin;Admin;localhost;
0664;Zamość;Admin;Admin;localhost;
0801;gorzowski;Admin;Admin;localhost;
0802;krośnieński;Admin;Admin;localhost;
0803;międzyrzecki;Admin;Admin;localhost;
0804;nowosolski;Admin;Admin;localhost;
0805;słubicki;Admin;Admin;localhost;
0806;strzelecko-drezdenecki;Admin;Admin;localhost;
0807;sulęciński;Admin;Admin;localhost;
0808;świebodziński;Admin;Admin;localhost;
0809;zielonogórski;Admin;Admin;localhost;
0810;żagański;Admin;Admin;localhost;
0811;żarski;Admin;Admin;localhost;
0812;wschowski;Admin;Admin;localhost;
0861;Gorzów Wielkopolski;Admin;Admin;localhost;
0862;Zielona Góra;Admin;Admin;localhost;
1001;bełchatowski;Admin;Admin;localhost;
1002;kutnowski;Admin;Admin;localhost;
1003;łaski;Admin;Admin;localhost;
1004;łęczycki;Admin;Admin;localhost;
1005;łowicki;Admin;Admin;localhost;
1006;łódzki wschodni;Admin;Admin;localhost;
1007;opoczyński;Admin;Admin;localhost;
1008;pabianicki;Admin;Admin;localhost;
1009;pajęczański;Admin;Admin;localhost;
1010;piotrkowski;Admin;Admin;localhost;
1011;poddębicki;Admin;Admin;localhost;
1012;radomszczański;Admin;Admin;localhost;
1013;rawski;Admin;Admin;localhost;
1014;sieradzki;Admin;Admin;localhost;
1015;skierniewicki;Admin;Admin;localhost;
1016;tomaszowski;Admin;Admin;localhost;
1017;wieluński;Admin;Admin;localhost;
1018;wieruszowski;Admin;Admin;localhost;
1019;zduńskowolski;Admin;Admin;localhost;
1020;zgierski;Admin;Admin;localhost;
1021;brzeziński;Admin;Admin;localhost;
1061;Łódź;Admin;Admin;localhost;
1062;Piotrków Trybunalski;Admin;Admin;localhost;
1063;Skierniewice;Admin;Admin;localhost;
1201;bocheński;Admin;Admin;localhost;
1202;brzeski;Admin;Admin;localhost;
1203;chrzanowski;Admin;Admin;localhost;
1204;dąbrowski;Admin;Admin;localhost;
