Kod;User;Owner;ComputerIP;Version
1a;Admin;Admin;localhost;
1b;Admin;Admin;localhost;
1c;Admin;Admin;localhost;
1d;Admin;Admin;localhost;
1e;Admin;Admin;localhost;
1f;Admin;Admin;localhost;
1g;Admin;Admin;localhost;
1h;Admin;Admin;localhost;
1i;Admin;Admin;localhost;
1j;Admin;Admin;localhost;
1k;Admin;Admin;localhost;
2a;Admin;Admin;localhost;
2b;Admin;Admin;localhost;
2c;Admin;Admin;localhost;
2d;Admin;Admin;localhost;
2e;Admin;Admin;localhost;
2f;Admin;Admin;localhost;
2g;Admin;Admin;localhost;
2h;Admin;Admin;localhost;
2i;Admin;Admin;localhost;
2j;Admin;Admin;localhost;
3a;Admin;Admin;localhost;
3b;Admin;Admin;localhost;
3c;Admin;Admin;localhost;
3d;Admin;Admin;localhost;
3e;Admin;Admin;localhost;
3f;Admin;Admin;localhost;
3g;Admin;Admin;localhost;
3h;Admin;Admin;localhost;
3i;Admin;Admin;localhost;
3j;Admin;Admin;localhost;
